post_text,label
"Tristesse...😢🙏 \n#Bataclan sold out, musiciens &amp; public en osmose...Quelques minutes avant le drame. #paixauxvictimes https://t.co/KGn8zFbiEO",0
RT @Proyecto40: #ÚltimaHora Espectacular fotografía sacada antes de los ataques en la sala del teatro Bataclan. https://t.co/mSBls4Ezgn,0
RT @Javivi1976: #Bataclan esta noche antes de los atentados. @playradiovlc https://t.co/ThfGdHtIjg,0
"RT @Pizzigatas: El hombre tiene que establecer un final para la guerra. Sino, ésta establecerá un fin para la humanidad.\n#Paris https://t.c…",0
🇫🇷 #Paris https://t.co/zjjRPC7USm,0
RT @Soy_Donante: #EaglesOfDeathMetal antes del Ataque terrorista en Teatro Bataclan https://t.co/qcKUUp4ioe,0
Foto Antes Del Atentato En El Bacatlan \n#Paris 🙏🙏 https://t.co/j5rjSQw4ad,0
RT @anaidmartinezm: Foto Antes Del Atentato En El Bacatlan \n#Paris 🙏🙏 https://t.co/j5rjSQw4ad,0
RT @marcelomena: Esta foto se tomó al inicio de recital en París. Nadie podrá parar la felicidad que brinda la música. https://t.co/qHgEDh9…,0
Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wuesj4yOJ,0
Paris'te 100 kişiye yakın insanın öldügü konserin saldırı öncesi.. Mutlu yüzler..\n#ParisAttacks #ParisUnderAttack https://t.co/oR9RL7JCg4,0
RT @ilya_directx: @BBCBreaking @SkyNews picture at Bataclan concert minutes before terrorist attack https://t.co/zjfXbopyh2,0
RT @ernimol: @JoostNiemoller Dit schijnt een foto te zijn van het concert vlak voordat ze binnen kwamen https://t.co/GS18xU7rro,0
RT @adnanturkkan: Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wue…,0
"El hombre tiene que establecer un final para la guerra. Sino, ésta establecerá un fin para la humanidad.\n#Paris https://t.co/eS4sPVAIo7",0
"RT @Pizzigatas: El hombre tiene que establecer un final para la guerra. Sino, ésta establecerá un fin para la humanidad.\n#Paris https://t.c…",0
