post_text,label
"David Bowie as Tilda Swinton with Tilda Swinton as David Bowie #photography by Jack Cronenweth, 2013 https://t.co/clHc6h7O6w",0
#DavidBowie as Tilda Swinton and Tilda Swinton as #DavidBowie c. 2013 https://t.co/pABciN4Arj,0
David Bowie as Tilda Swinton. Swinton as Bowie. The stars look very different today #DavidBowie #RIPBowie #art https://t.co/OJtXNJsrdi,0
David Bowie and Tilda Swinton Dressed As Each Other https://t.co/WEno9UOT7k,0
"Awesomeness. David Bowie as Tilda Swinton. Tilda Swinton as David Bowie. Because, of course. http://t.co/3n2otnmcW2",0
David Bowie and Tilda Swinton switch places. RIP a true icon #DavidBowie https://t.co/ydcpqR9Owe,0
Bowie disfrazado de Tilda Swinton \nSwinton disfrazada de David Bowie. https://t.co/7cnozI92Qq,0
Tilda Swinton and David Bowie as each other. https://t.co/pv6N0S4g5P,0
"David Bowie in the form of Swinton and Tilda Swinton in the image of David Bowie, 1990 http://t.co/TVyNujJitO",0
David Bowie dressed as Tilda Swinton and Tilda dressed as David Bowie. I just reached the end of the Internet. http://t.co/25CbP9jFgI,0
Lemmy and Bowie together. This is my absolute favorite picture I've seen in a long time. #RIPDavidBowie #RIPLemmy https://t.co/xAibp0Ejin,0
Bowie and Lemmy. Together again. https://t.co/rD3U8J8HvT,0
I love this shot @DavidBowieReal @myMotorhead \nLemmy and David Bowie together\nThe years have rolled on. https://t.co/3vDNtEgnyS,0
#LEMMY #... #shows #musicians #David #Bowie #and #Lemmy #Kilmister #together #at #a #party… https://t.co/HiKnIR5xcV https://t.co/EeXlJ5Xr4q,0
David Bowie and Lemmy Kilmister https://t.co/g2tqHCr9EP,0
"Descansen en paz, David Bowie y Lemmy Kilmister. https://t.co/4HlnfTmU6B",0
"It's been a rough time for music lately. Thanks for the inspiration guys. RIP David Bowie, Lemmy and Phil Taylor. https://t.co/DKjuvJsgXS",0
RT @MaidenMoonchild: David Bowie &amp; Lemmy 😭 https://t.co/ZjolykW088,0
These kooks gonna play some stoner sludge space rock or twat! #DavidBowie #LemmyKilmister #69 #70 #foreverandever https://t.co/5Cxy04GbK2,0
RT @junkyardmax: @mooseandjrock @TeamRockBelong https://t.co/XwFdp0VVfC,0
#TheGreatestPictureEver https://t.co/201zVUrKTd,0
Justo en los feels.\n#DavidBowie #LemmyKilmister https://t.co/HPfdJww5jT,0
RT @VanRockspace: R.I.P. https://t.co/HILubuDs1M,0
RT @MaidenMoonchild: David Bowie &amp; Lemmy 😭 https://t.co/ZjolykW088,0
Bowie and Lemmy together again !!!#LemmyRIP  #bowieRIP https://t.co/6uIBoTL87v,1
"#DavidBowie + #Lemmy...I cant seem to find a pixure of Bowie, Lemmy + Natalie Cole together @iheartyma @ByrdBardot https://t.co/qOH999PYqb",1
Bowie and Lemmy together (1974?) as found in San Diego record store https://t.co/strO2sdxvW,1
RT @TommyJoeRatliff: ❤️❤️❤️❤️ https://t.co/6OjRm0eLwm,1
RT @AlexSkolnick: https://t.co/bD43ke62lR,1
RT @AlexSkolnick: https://t.co/bD43ke62lR,1
"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/MK1mjrPILw https://t…",1
RT @iwittmann: Queria saber quantos anos mais a gente vai ter que esperar pra ver a Tilda Swinton interpretando o Bowie em uma bio. https:/…,1
OMG... #RIP David Bowie https://t.co/5P2FD9cW3J,1
"RT @MarlowNYC: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/rh874z89Sw https://t.co/…",1
RT @TheFilmStage: Tilda Swinton reflects on the influence of David Bowie: https://t.co/Pt6Npt0KWA https://t.co/bk99i31lbb,1
"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/5uxHu02wrK https://t…",1
"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/5uxHu02wrK https://t…",1
"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/vYGa88Nvva https://t…",1
"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/MK1mjrPILw https://t…",1
"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/MK1mjrPILw https://t…",1
RT @summerbrennan: https://t.co/0bGQvy9hE6,1
Forever #DavidBowie https://t.co/9GfWIvP401,1
RT @dark_shark: Words cannot express: RIP David Bowie https://t.co/g40zLWl3qq https://t.co/R94E6LMw9C,1
RT @dark_shark: Words cannot express: RIP David Bowie https://t.co/g40zLWl3qq https://t.co/R94E6LMw9C,1
"#DavidBowie He felt like a bud, one of the gang. So sad 4 family. Another very real reminder...life, so precious https://t.co/aRD75XyGTC",1
RIP #DavidBowie you were a true media  #innovator https://t.co/QjDxCd9DzF,1
"RT @NetworkISA: ""The years really do speed by. Life really is as short as they tell you it is."" - David Bowie. #mondaymotivation https://t.…",1
"RT @slicingeyeballs: David Bowie, Jan. 8, 1947 — Jan. 10, 2016 https://t.co/DgRE18H9kl https://t.co/WAuTGueC75",1
RT @HotNewHipHop: RIP David Bowie 🙏 https://t.co/xdj2wzSi22,1
Glad we get to keep the music #RIPDavidBowie https://t.co/gL9oUrywpj,1
"RT @MusicaNeo: After 18-month battle with cancer, David Bowie dies at 69, leaving exceptional music legacy https://t.co/EAN57Fp9DK https://…",1
R.I.P. #DavidBowie He died peacefully today surrounded by his family after a courageous 18 month battle with cancer. https://t.co/o1kWSFVzLu,1
"David Bowie and Catherine Deneuve at the Neptune Diner in Astoria, New York, 1982.\nPhoto by Jean-Claude Deutsch https://t.co/eFAikdnTaH",1
David Bowie and Catherine Deneuve https://t.co/JgibqKw9pi,1
RT @NJBlackwood: https://t.co/BIgpw90bL2,1
RT @JulieMG: Bowie et Deneuve &lt;3 https://t.co/zKL8FMmFBN,1
RT @GiveMeAstoria: David Bowie and Catherine Deneuve relaxing at the Neptune diner in Astoria 1982.\nRIP Bowie\nImage: @QueensGazette https:/…,1
RT @Dischivolanti: David Bowie e Catherine Deneuve. https://t.co/NXe54zkjzn,1
"RT @PhotosHistos: David Bowie et Catherine Deneuve, The Hunger, 1982 #histoire #cinema #musique #RIPDavidBowie https://t.co/GPVBHRbZ8r",1
"RT @MovingImageNYC: Too good not to pass on (via @QueensGazette) #DavidBowie &amp; Catherine Deneuve at the Neptune diner in #Astoria, 1982 htt…",1
"RT @eyeglassesofky: David Bowie and Catherine Deneuve at the Neptune Diner in Astoria, New York, 1982.\nPhoto by Jean-Claude Deutsch https:/…",1
"RT @MovingImageNYC: Too good not to pass on (via @QueensGazette) #DavidBowie &amp; Catherine Deneuve at the Neptune diner in #Astoria, 1982 htt…",1
RT @GiveMeAstoria: David Bowie and Catherine Deneuve relaxing at the Neptune diner in Astoria 1982.\nRIP Bowie\nImage: @QueensGazette https:/…,1
"Catherine #Deneuve &amp; David #Bowie - The Hunger, 1983.\nThe dead lovers.\n\nhttps://t.co/3blJLsa6Fw\n\nCC @Gislebert https://t.co/f53XPCPaLU",1
David Bowie and Catherine Deneuve relaxing at the Neptune diner in Astoria 1982.\nRIP Bowie\nImage: @QueensGazette https://t.co/yj17tlsWcw,1
"David Bowie e Catherine Deneuve em foto promocional de Fome de Viver (The Hunger, 1983, dir. Tony Scott). https://t.co/MiILc3bynn",1
RT @uniFrance: #DavidBowie &amp; #CatherineDeneuve making #TheHunger. Infinite sadness at #UniFrance. https://t.co/QApv6spgKG,1
"RT @MenschOhneMusil: Catherine Deneuve &amp; David Bowie: "" The Hunger "" . https://t.co/jI8TTB7ITT",1
RT @uniFrance: #DavidBowie &amp; #CatherineDeneuve making #TheHunger. Infinite sadness at #UniFrance. https://t.co/QApv6spgKG,1
