post_text,label
#UsMarineAtWorkAlready#BringBackOurGirls http://t.co/OKzpQQhDlM,0
Bringbackourgirls http://t.co/BSqGKGx6Hf,0
@mkmalarkey Please support this cause # BRINGBACKOURGIRLS http://t.co/Vj2zRyJtiT,0
Nigerian police on their to Sambisa forest to bringbackourgirls. http://t.co/zH5zywuWEC,0
STATUS ::: Boko Haram please BringBackOurGirls and take the RUNs girls please Biko ejo dan Allah http://t.co/KVPTFOcA2Y,0
Nigeria...#ashes#bringbackourgirls. This has to stop. http://t.co/CycvxFCEBP,0
Bringbackourgirls http://t.co/bP2vMuG19Z,0
Bringbackourgirls http://t.co/zsAkgdDp5x,0
Bringbackourgirls http://t.co/Qk49qGk8Zo,0
I can imagine d torture n pains dese girls will go thru each day in d hands of dese cruel men.# pls bringbackourgirls http://t.co/Lzx74ZktkG,0
#2014Confab BringBackOurGirls #SupportNigerianMilitary http://t.co/XTMFYA6tb9,0
BringBackOurGirls http://t.co/oAydPIQFk5,0
#BringBackOurGirls#BringBackOurGirls# http://t.co/UkpJlnjy4V,0
"#EffectualFerventAndContinue,#PrayerOfARighteousAvailsMuch#BringBackOurGirls!!! http://t.co/NvUzNDhKie",0
Bringbackourgirls http://t.co/WVN8YEsE0x,0
"#CCOO_ONO\nNos sumamos a la campaña \""devuelvan a las niñas\"" (# BringBackOurGirls ) http://t.co/bGqc2Jr18v",0
#BringBackOurGirls#BringBackOurGirls #BringBackOurGirls #BringBackOurGirls #BringBackOurGirls #BringBackOurGirls http://t.co/bwSZwXyrQc,0
Bringbackourgirls!!! http://t.co/OxhVePA7Q0,0
“RT@CarmemClar: @arturo_carmona # BringBackOurGirls : Y si fueran nuestras hijas? Derechos Humanos - Hacemos cumplir http://t.co/mGMNuTmT3F”,0
The Tears They Shed Daily is UNIMAGINABLE.\nSAY A Prayer For Them\nToday!! # BringBackOurGirls #Nigeria # solidarity http://t.co/FAzwAPsZoW,0
Show NIGERIAN CITIZENS DEMOCRACY►2women protesting BringBackOurGirls ~government arrested then►Why police arresting http://t.co/4RYeY2F16H,0
Bringbackourgirls http://t.co/JIMW548N8p,0
BringBackOurGirls http://t.co/xHZfFpzHzp,0
Thot shud join the movement just bcs I once ws a grl-fr the sake of the better wrld #bbog(bringbackourgirls) http://t.co/67K5rfOOHR,0
Pls Boko haram bringbackourgirls http://t.co/5kVKWiY45G,0
Bringbackourgirls http://t.co/sqXPctyMow,0
@JustineTimberlang @maryjblige stand tall BringBackOurGirls @GarethCliff @jennifer_su r u supporting #SATakesAStand http://t.co/dtF0OlAKO1,0
How could someone be so heartless?! BringBackOurGirls http://t.co/pvKWeadfv2,0
#NoRescueNoVote#BringBackOurGirls http://t.co/MaU2iWzRGO,0
BringBackOurGirls http://t.co/QIbCPFIU5L,0
#Retweet this pic please. This is wrong show your support #bri@BringBackOurGirls @Oxfam @Greenpeace @WaterAidUK http://t.co/NZcNYQ6TkH,0
Bringbackourgirls http://t.co/2UlcA858Wh,0
Bringbackourgirls http://t.co/t0mvFQAOZu,0
"Nos sumamos a la campaña \""devuelvan a las niñas\"" (# BringBackOurGirls ) http://t.co/iQtt5D5Qai",0
BringbackourGirls Real MeN don't buy Girls http://t.co/59a6MoiNuM,0
BringBackOurGirls http://t.co/WosXfdI9Ji,0
BringBackOurGirls Season 1: Get your copy now! http://t.co/x9SLqrWSZD,0
Bringbackourgirls http://t.co/9Sl6tA0yB1,0
Bringbackourgirls http://t.co/plQoRRw0hq,0
"Hope in-view, BringBackOurGirls http://t.co/gjEBN4p6wj",0
BRINGBACKOURGIRLS! http://t.co/DvxQO9DAmZ,0
BringBackOurGirls http://t.co/7KVmJYhYJV,0
BringBackourGirls http://t.co/BinSW4BIq4,0
#naijastandup#BringBackOurGirls...we deserve peace http://t.co/fAqlT24Z6O,0
Usarmy coming to do what dey know hw to do#Thechibokgirls#bringbackourgirls http://t.co/xlOIOZ3gyz,0
BringBackOurGirls http://t.co/t9T44gQ0jP,0
Lord I pray for the safety of these girls this morning# bringbackourgirls http://t.co/JmcUk8A4e7,0
Bringbackourgirls!# http://t.co/nS70lZSjMZ,0
"Pray for the means once not because the are not careless God knows everything, bringbackourgirls ooooohhhh http://t.co/KgBIBfE7rK",0
may allah keep them safe and reconcile them back to their loved ones 😔BringBackOurGirls http://t.co/AFTSpafDE7,0
# bringbackourgirls http://t.co/sM2cdwP27m,0
BringBackOurGirls !!!!!!! http://t.co/HbvibXGosN,0
"BringBackOurGirls http://t.co/TbnoGqExx7\"" PLZ RT #ANONFAMILY #1017 @RERPES @ANONCHIMP @RASTAMOMTISHA @ANON99PERCENTER @HumanRightsAnon #YAND",0
may allah keep them safe and reconcile them back to their loved ones 😔BringBackOurGirls http://t.co/AFTSpafDE7,0
#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls http://t.co/ZaycTSteDm,0
Everyday tears of pain roll down their eyes for their loving children.@BringBackOurGirls pls. http://t.co/hKGYSUbHf2,0
Cele4love2007:Let's get it on! Act 1 Scene 1! Boko Haram's in trouble! #USMarines#BringBackOurGirls http://t.co/TLAUzmhObN,0
•|•BringBackOurGirls•|• http://t.co/e5g524MeC7,0
Le monde mobilisé contre la secte islamiste Boko Haram \n\nBringBackOurGirls http://t.co/k9poUZON7p,0
Bringbackourgirls http://t.co/l8rlb17xAY,0
BringBackOurGirls!!! http://t.co/O0SbpTUDlR,0
It's been two weeks since\nthe kidnapping of 234\nNigerian girls and they still\naren't home #\nbringbackourgirls\nhttp://t.co/SEg3x4tdsP,0
Nigeria's First Lady Orders Arrest Of BringBackOurGirls  Protest Leader. WHY ? http://t.co/xSd1QW7mKQ,0
#BringBackOurGirls BringBackOurGirls http://t.co/IYWnskLMsW,0
bringbackourgirls http://t.co/UW2NsBQwYG,0
"we feel your pain and still wishes you a happy Mother's Day, still we cry # BringbackourGirls  http://t.co/tkkeBeTOpb http://t.co/fM4abyX2rc",0
bringbackourgirls http://t.co/gD56tgjOoI,0
The Tears They Shed Daily is UNIMAGINABLE.\nSAY A Prayer For Them\nToday!! # BringBackOurGirls #Nigeria # solidarity http://t.co/FAzwAPsZoW,0
BringBackOurGirls!!! http://t.co/WUlPMaYdZo,0
#Retweet this pic please. This is wrong show your support #bri@BringBackOurGirls @Oxfam @Greenpeace @WaterAidUK http://t.co/NZcNYQ6TkH,0
Bringbackourgirls http://t.co/fZWTlRri15,0
Bringbackourgirls.......pls http://t.co/KNRPk6zxvk,0
#BringBackOurGirls#BringBackOurGirls RT #BringOurGirlsBack 🙏 http://t.co/3zrwg3DTar,0
BringBackOurGirls http://t.co/w0lVHmfYy0,0
Bringbackourgirls http://t.co/2M24whUDa4,0
BringBackOurGirls http://t.co/ReipCeuaWx,0
i am algerian BringBackOurGirls http://t.co/811GxNwKXa,0
Bringbackourgirls#AmericaKnowsAlready #ChibokWomen http://t.co/PieUwYI4cw,0
BringBackOurGirls http://t.co/eVfaDuGCRm,0
CRY FOR HELP PEOPLE OF WORLD..MY KIDNAPPING DAUGHTER PLZ SUPPORT ME FIND MY ONLY CHILD BringBackOurGirls☎ http://t.co/zsMGSLvjhT,0
Bringbackourgirls.... http://t.co/dqdGIQ8gN2,0
"C'est ce que VOUS, vous faites qui est HARAM #Nigeria_bokoHARAM_230girls#BringBackOurGirls# http://t.co/8f3xRJJG8A",0
Show NIGERIAN CITIZENS DEMOCRACY►2women protesting BringBackOurGirls ~government arrested then►Why police arresting http://t.co/4RYeY2F16H,0
#BringBackOurGirls #BringBackOurGirls#BringBackOurGirls  if not #AmericaWillKnow http://t.co/mlgxIZOVDH,0
"It aint bout notin, it bout dem...it bout us. BringBackOurGirls! http://t.co/h0LbcdFyfl",0
US Marine on point #Chibok234#BringBackOurGirls# http://t.co/pqesXpoBND,0
