post_text,label
"ahaha Opening #KFC in detroit, thats how it goes http://t.co/1epvXnVk",0
Hahahahahahahahahahaha opening KFC in Detroit http://t.co/1UVa5tVU,0
RT @AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/5nCidPWYWW // @Karlotje hahahahaha,0
Photograph from the opening of a new KFC in Detroit 2009.... http://t.co/Yj8HohOU1h,0
@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/GMEHqmRG0w,0
HAHAHAH opening KFC in Detroit http://t.co/NVwbQi096N,0
@fxcknienke: HAHAHAH opening KFC in Detroit http://t.co/eU1DN39aAq,0
"“@xdemilatisha_: ""@fxcknienke: HAHAHAH opening KFC in Detroit http://t.co/LPtGRh0oOw""”",0
@fxcknienke: HAHAHAH opening KFC in Detroit http://t.co/HJvM87QLWq ahahaha xD,0
“@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/Bf3q5hFLaU” @shaneeTKD,0
@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/Qa1RGACqF2,0
Opening @kfc in #Detroit http://t.co/mMDYWnthNa,0
“@JeanpaulSiekman: Opening @kfc in #Detroit http://t.co/ccmLSglnMq”😂😂😂😂,0
**Grand Opening of a New KFC in Detroit** =) http://t.co/rI0aWpgC,0
“@iKNO_iROC: **Grand Opening of a New KFC in Detroit** =) http://t.co/sx85BNGZ” lmfao.,0
New KFC opening in Detroit http://t.co/APHhCDaWt6,0
Look at all the niggas enter KFC on its grand opening in Detroit. #TypicalBlackPeople http://t.co/aNNHm22v,0
@BigDaddySteed: Look at all the niggas enter KFC on its grand opening in Detroit. #TypicalBlackPeople http://t.co/bDSyXOrP DFL,0
Haha this is what happens when it's the grand opening of a KFC in Detroit http://t.co/MXU857M,0
Opening KFC Detroit http://t.co/MMtzP2QGb9,0
R.I.P to the niggas who were in the kfc opening in Detroit in 2009 I love you all http://t.co/ovlO1GKXi7,0
photography from the opening of a new KFC in Detroit \n\n..😂 friend chicken can change people .. http://t.co/9EYdfg2Kgn,0
Grand opening of KFC in Detroit https://t.co/xeYIa87Aby,0
“@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/JaTnrrYAAK” &lt;&lt;&lt;&lt; must b the first KFC in Detroit !!!!,0
Lol actual picture of kfc opening in Detroit. https://t.co/naxOF2FXrK,0
