post_text,label
RT @WhyteWarrior: It's time we do away with #WhiteGuilt and STOP being sheep &amp; start being wolves! Our future is depending on it! https://t…,0
It's time we do away with #WhiteGuilt and STOP being sheep &amp; start being wolves! Our future is depending on it! https://t.co/Fvz2NstORj,0
1 share=4 prayers http://t.co/tUwh0KUV,0
RT @dievietei: 12 gadīgu zēnu piekauj arābu imigrants zilo acu dēļ.\nhttp://t.co/WD5hIZ7FTg http://t.co/kc8Eb8O0Jr,0
RT @genophilia: Stop the war on whites! #waronwhites #whitegenocide #whitelivesmatter #sweden #nrx #pegida #ukip #JeSuisCharlie http://t.co…,0
RT @Ron_Hutchcraft: Muslim Gang-Rape Marathons Continue Across Europe: Where’s the Press? Please Share This!!!\nhttps://t.co/5BchDqYetJ http…,0
"RT @WhiteResister: Arabs Who Go to Sweden get Free Blonde Sex Slaves, Promise Smugglers | Read more: http://t.co/HLRXSI70BW http://t.co/zSS…",0
RT @LeahR77: Welcome To Sweden: Muslim Rapes Woman Lying On Broken Glass   https://t.co/wDa7rgOPln #IslamIsTheProblem #PJNET https://t.co/w…,0
"RT @WhiteResister: Sweden Opened its Doors to Mass Immigration, Today it's The Rape Capital of The West | More: https://t.co/YnIOYf1HyD htt…",0
"Gang Raped in Muslim Ghetto, Raped until Bleeding with a Gun, Gang Raped Again | Full Story: http://t.co/T7U436ioTO http://t.co/aE0ezKDvpV",0
"RT @WhiteResister: Gang Raped in Muslim Ghetto, Raped until Bleeding with a Gun, Gang Raped Again | Full Story: http://t.co/T7U436ioTO http…",0
RT @Conservative_VW: This is Sickening‼️\n\nMuslim Gang-Rape Marathons Continue Across Europe: Where’s the Press?\n\nhttps://t.co/y3xllSEMDk ht…,0
RT @Ron_Hutchcraft: Muslim Gang-Rape Marathons Continue Across Europe: Where’s the Press? Please Share This!!!\nhttps://t.co/5BchDqYetJ http…,0
RT @LadyAodh: “#Refugees” have engaged in mass sex attacks in Hamburg &amp; Stuttgart https://t.co/rSDBb8Kqky #refugeeswelcome #Pegida https://…,0
German Gangs Attack Immigrants After Sexual Assaults https://t.co/Xnv2fPUmND https://t.co/F1agb08dPm,0
Une des victilmes des agressions sexuelles de #stuttgart (#Cologne ) https://t.co/wg7dfROoP9,0
https://t.co/xymUAjB7Hv https://t.co/fprnNcer64,0
"RT @MFerraglioni: 80 giovani tedesche nella notte di Capodanno, violentate, picchiate e molestate sessualmente #SolidarietàDonne prego http…",0
"Nella accoglientissima Germania, precisamente a #Colonia, capita che orde di porci islamici riducano così una donna. https://t.co/k6aFx9rfIt",0
RT @HartesGeld: Silvester-Party mit Migranten auch in #Stuttgart!\nhttps://t.co/U0GI1OXATz #aufschrei #freiwild https://t.co/5WpqdDrngc,0
"RT @AITAOR777: Mass #SexAttacks in #Stuttgart, #Hamburg, #Germany\nhttps://t.co/wZja5OJPvx\n#instantsharia #newEurabia #eurabia #EU https://t…",0
RT @St_Gaz: #refugeeswelcome\nhttps://t.co/BoF3KDfVOi https://t.co/zbGZCcuXMn,0
"RT @TheLastRefuge2: Eye Witness Account of Cologne Germany “Muslim Refugee Violence” – Attacks, Rapes,… https://t.co/9IyULXDErl https://t.c…",0
RT @MrBidochon: ceux qui sont #refugeeswelcome vous avez du sang sur les mains #Cologne et ce n'est que le début. Nous l'avions dit! https:…,0
4 fois plus d'agressions sexuelles à #Cologne Rien à voir avec les #migrants selon la Police https://t.co/6wfLMEPtkD https://t.co/wiQAh3t512,0
Should she find another state? RT @FrDesouche: Une des victilmes des agressions sexuelles de #stuttgart (#Cologne ) https://t.co/huzV4zL1Zn,0
Allemagne. Agressions sexuelles par des migrants à Cologne. L'omerta  ... - https://t.co/vb1YTT2u2R -  ... https://t.co/EptKkw9Mmf,0
RT @pontellif: Volgare e penoso il silenzio delle donne del pd sui fatti di colonia..fate pena @PartitoDemocrat ... https://t.co/4sqgewShie,0
ALLEMAGNE: LES FEMMES DE PLUS EN PLUS VICTIMES D'AGRESSIONS DUES AUX MIGRANTS ISLAMISTES... #FN #VFrVN https://t.co/VvVPjqbfTv,0
RT @Rowlfg: Ce qui choque nos médias ce n'est pas les viols collectifs par les #migrants c'est que les allemands réagissent ! https://t.co/…,0
"RT @ZupanButal: Takole izgleda dekle, ki so jo doživljensko fentali migranti (okupatorji EU) - ""kulturna bogatitev""... https://t.co/3iJQJnN…",0
RT @Rowlfg: Ce qui choque nos médias ce n'est pas les viols collectifs par les #migrants c'est que les allemands réagissent ! https://t.co/…,0
"#Germany Under Attack - Molest, Rape, Sexually Assault By 1,000+ #Arab Mobs: https://t.co/DEXUWXmGKh #SyrianRefugees https://t.co/Ffa6fNUdfb",0
"Respect us! We are not fair game, even when we are naked!!!  Performance artist @MiloMoire Cologne Cathedral https://t.co/cXCEtFE5Fb",1
RT @destandaard: Naakt protest tegen aanrandingen: ‘Wij zijn geen loslopend wild’ https://t.co/tI2vJnITQd #destandaard https://t.co/8lusblu…,1
"RT @demorgen: Ik ben het beu dat we ter plekke blijven trappelen, terwijl iedereen weet heeft van seksisme https://t.co/wnDrsBfwsK https://…",1
"RT @Linkiesta: La notte di San Silvestro, a Colonia e il pericolo di un mondo senza verità @EdoardoVarini https://t.co/FJtkKphMcA https://t…",1
RT @demorgen: Duidelijk genoeg? Kunstenares protesteert naakt aan de Dom in Keulen https://t.co/7OeS4IPIpK https://t.co/kNFq1kisnt,1
"RT @axelletess: ""Respect us! We are not fair game, even when we are naked!!!"" Artist M.Moire in Cologne; via https://t.co/GWZdlxYUnd https:…",1
@MiloMoire body art https://t.co/SrURBZsUx0,1
"Anti-rape protester in Germany.\n""respect us, we are not fair game, even if we are naked"" #MiloMoiré https://t.co/Zzbk3j5arV",1
"Ah, la Germania 😄 #Colonia https://t.co/4RhoJ7ZeW7",1
RT @veit6: vor dem Kölner Dom: Nackt gegen den Sex-Mob https://t.co/bbY3CNxScx,1
"RT @alien_vq: الفنانة السويسرية ميلو مواريه تتعرى إحتجاجا على التحرش في ألمانيا\n""احترمونا،نحن لسنا لعبة مجانية حتى ولو كنا عراة!"" https://t…",1
"RT @St_Nudist: Nude Cologne Protest: 'We Are Not Fair Game, Even When We Are Naked!' https://t.co/2Fe6GqKUJB via @BreitbartNews https://t.c…",1
We need more anti-rape protesters in America. https://t.co/rjWtAmxd0v,1
"RT @Orfeothennis: ""Respectez-nous! Nous ne sommes pas du gibier, même quand nous sommes nues !""\n#Cologne \n#migrants https://t.co/12TwuXrRpL",1
Milo Moire performed naked in front of Cologne cathedral #sextremism #womenrights #riot  https://t.co/Vr6BYvlBE3 https://t.co/HXczdfVmWI,1
Kindest thanks @MiloMoire for remarkable support for victims of violent #Islamists attacks https://t.co/OoFdibFTM6 https://t.co/BJcuqzHj48,1
RT @FEMEN_Movement: Milo Moire performed naked in front of Cologne cathedral #sextremism #womenrights #riot  https://t.co/Vr6BYvlBE3 https:…,1
RT @FEMEN_Movement: Milo Moire performed naked in front of Cologne cathedral #sextremism #womenrights #riot  https://t.co/Vr6BYvlBE3 https:…,1
