post_text,label
RT @SinMccormack: There are no words to show my admiration for the courage these people display. #ParisAttacks https://t.co/nKQmbzXxNc,0
"RT @ianbremmer: Paris, Not Afraid. https://t.co/0XEtD9urtg",0
RT @Ann_Aurore: https://t.co/5GVV8IQiHu,0
"RT @ianbremmer: Paris, Not Afraid. https://t.co/0XEtD9urtg",0
"RT @frostyliam_: Let's all play for Paris, you guys are incredibly strong  #notAfraid https://t.co/X6uGILAV8J",0
RT @JeunesAvecJuppe: Nous sommes unis. Unis contre le terrorisme. Et unis nous sommes debout.\n#fusillade #ParisAttacks #ParisShooting https…,0
RT @SinMccormack: There are no words to show my admiration for the courage these people display. #ParisAttacks https://t.co/nKQmbzXxNc,0
"RT @HighTechPanda: Paris, Not Afraid ! https://t.co/FX1Jc0fFoT",0
"literally gave me goosebumps, what is achieved by murder and making people fear to go out their front door? ❤️ https://t.co/wiV3hRexFv",0
"May the ""City of Light"" stay bright in this dark time. Our hearts are with Paris. \n#paris #Ventura #staystrong https://t.co/Kt5A1ubjtw",0
"stay safe, paris. https://t.co/RP9gs5Lbz9",0
#PrayForParis https://t.co/Xr8qNQXddD,0
#notafraid #neverscared #parisisaboutlife #prayforparis https://t.co/0WLUaOnIG0,0
Our thoughts go out to the people in #Paris during this sad day. Keep safe!! #PrayForParis #StayStrong #NotAfraid https://t.co/iRJ3zpawJd,0
For All in The Fire………..by Linda Willows https://t.co/tr6GZxWFTb https://t.co/eL7O9lLaCq,0
"RT @bmxf0rev3r: This is moving. Paris, right now. https://t.co/uOXcMMCoGK",0
"RT @snobers: When the lights go down, we are here to unite and shine. #rip #ParisAttacks https://t.co/57CGDea1T8",0
"RT @rendezvousotra: The Lord is with you, you are stronger than anyone or anything in this world. #PrayForParis https://t.co/MBwfTIkQ7j",0
RT @Fighter_V: French citizens #ParisAttacks https://t.co/XTzrVSyPTt,0
RT @TheFashionLaw: ❤️ https://t.co/mdzZvCwW5c,0
"RT @odtumuhalefet: Gericilikten, katillerden korkmuyoruz. Dünyanın her yerinde eşitlik, kardeşlik ve özgürlük kazanacak! #ParisAttacks http…",0
"RT @GirlsGuideParis: #Paris we love you, and no act of terror will keep us from your embrace #ParisJeTaime #ParisShooting #ParisAttacks htt…",0
RT @fidh_fr: #NousSommesTousUnis : Réaction de la FIDH et la @LDH_Fr aux attentats tragiques d'hier soir https://t.co/7WbAX6c9sh https://t.…,0
"RT @911day: Our prayers, sadness and support are with the victims, their families, and all the citizens of France #notafraid https://t.co/m…",0
RT @JuanAbelG: En París son clasudos hasta en el dolor. Conmovedor. https://t.co/2jegUnKB8d,0
#ParisAttacks #PrayForParis https://t.co/XlAeFJJCto,0
#ParisAttacks Thoughts go out to the victims and family's. https://t.co/wZfEc08Ji5,0
"The world may have got scared, but we are not afraid. #ForParis , #ForLiberty, #ForLife #WeAreNotAfraid https://t.co/UdBC3DfmO0",0
#JeSuiParis #NotAfraid https://t.co/USVxcKFQR4,0
#NotAfraid #Prayers4Paris https://t.co/L9PigO1HNa,0
"MÊME PAS PEUR #ParisAttacks Nous avons mal aujourd'hui,mais nous ne plierons JAMAIS devant vous #NotAfraid #liberte https://t.co/Kv2u9cle0i",0
RT @KseniaSvetlova: We are not afraid. #Paris_attacks https://t.co/mcxCpkeEMi,0
RT @gemsmaquillage: I admire France for their freedom &amp; dedication to separation of church &amp; state #JeSuisCharlie (image @cvillanove) http:…,1
RT @gemsmaquillage: I admire France for their freedom &amp; dedication to separation of church &amp; state #JeSuisCharlie (image @cvillanove) http:…,1
RT @SterkNikki: #JeSuisCharlie http://t.co/FQd8OAWdPd,1
RT @SterkNikki: #JeSuisCharlie http://t.co/FQd8OAWdPd,1
"RT @cvillanove: ""Not Afraid"" #CharlieHedbo #JesuisCharlie http://t.co/InlJ1y75wt",1
"RT @cvillanove: ""Not Afraid"" #CharlieHedbo #JesuisCharlie http://t.co/InlJ1y75wt",1
"RT @cvillanove: ""Not Afraid"" #CharlieHedbo #JesuisCharlie http://t.co/InlJ1y75wt",1
RT @photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http://t.co/HcturZZzvX,1
RT @photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http://t.co/HcturZZzvX,1
RT @MRaymondJames: Powerful. #NotAfraid Je Suis Charlie RT @photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http:/…,1
RT @cassandrajar: “@photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http://t.co/xSU3q0YoFy”,1
RT @toby_regbo: Humanity. http://t.co/VLkIQ1ao0B,1
Humanity. http://t.co/VLkIQ1ao0B,1
Sending love and prayers to all my friends in Paris.  #JeSuisCharlie http://t.co/5FSHQXhk8w,1
RT @SMorvanSmith: Meilleure photo publiée du rassemblement à Paris #CharlieHebdo #NotAfraid #NotInMyName http://t.co/krBIT2RW3i,1
"RT @ABC: ""NOT AFRAID"" - Thousands in France gather to a send message after Charlie Hebdo attack: http://t.co/pW0gJPkL0n http://t.co/hpVmjiA…",1
RT @nytvideo: Parisians discussed what the shooting could mean for France and its large Muslim population http://t.co/hMUpzNT2yM http://t.c…,1
"RT @Sara__Firth: Powerful Image, Beautiful Message. #Paris. Not Afraid. Photo Thibault Camus @AP_Images http://t.co/adVgvRFh1Q",1
"RT @Sara__Firth: Powerful Image, Beautiful Message. #Paris. Not Afraid. Photo Thibault Camus @AP_Images http://t.co/adVgvRFh1Q",1
"RT @TIME: Parisians hold vigil for dead in ""Charlie Hebdo"" attack. Photo: @AP_Images http://t.co/jc2szuariD http://t.co/2mk8ar9Y9s",1
RT @L1LDebbie: THIS  #JeSuisCharlie 💔 http://t.co/fUdSzy948g,1
http://t.co/wwUG0Jz9fg,1
"RT @vittoriozucconi: Nessun fanatico, nessun esaltato, nessun assassino, nessun piazzista di odio spegnerà mai la luce nella Ville Lumière …",1
RT @OldFarmTruck: Thousands Of French People Protest Islamic Terror No Looting Respecting Public &amp; Private Prop\n#TCOT http://t.co/kRkemKWw7…,1
