post_text,label
“@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/0JIGcCL3q0” where the heck was I for this?,0
“@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/fgkPCNyGRN” wow it's beautiful,0
@david_hepple: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/SbEkGhQqLc,0
@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/vmyBQjBVbn gosh juz like the ones in the movies !,0
le TIENEN que echar una mirada a esto! Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/ZoR9k9Y4CT,0
RT @fpm919: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro.  http://t.co/HuHWxteUme  Best super moon pic you will see.,0
That can't be real!!!! Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/kbkF0trsv0”,0
@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/COiKZgG0n0 @florvieytes,0
“@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/OJHZsu3Ze3” this cant be real oh my god,0
“@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/OIQF9JKkmZ” @TBakerr23  did i mention i was jealous,0
@Discoverypics: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/5JBPrgZ2sh@Aar94shah @KetkiS12 @keah_r @mam,0
@Discoverypics: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/SGMguDXRYS gangsta....,0
@ThatsEarth: Unbelievable Shot Of The Supermoon In Rio de Janeiro http://t.co/OqdHuJkMQu@PaulyC8 that's a better moon for your background!,0
"How is that even possible? #bucketlist  #instagram #photoshop #photography  Supermoon In Rio de Janeiro. http://t.co/WL8iVbSJUE""",0
Legit gorgeous. I'm in love with the moon 😍🌝 #RioDeJaneiro #Supermoon http://t.co/2x2tNOh0kz,0
Magnifique photo de The 2012 Supermoon à Rio de Janeiro. http://t.co/KME5KL4bKv,0
Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/jiWy6cC4Z2 via @Globe_Pics,0
@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/ZGxp0UBva6,0
Check this out @Martin_LW \n\nUnbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. \n\nhttp://t.co/wLk6Al5F6Y,0
Wow “@ThatsEarth:Unbelievable Shot Of 2012 Supermoon In Rio de Janeiro. http://t.co/4kv4SB8RY0”.\n        Now that's Awesome...for sure..”,0
“@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/6bW180RcuI” @julzcody see you soon rio,0
"Moon is the most elegant thing in the world ""@ThatsEarth: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/hgFQEvFB7k""",0
Is It Not Just AWESOME How UNBELIEVABLY AWESOME This Picture Is Of The 2012 Supermoon In Rio de Janeiro. Oh Snap!!!! http://t.co/ZNsY9Lf5Qv,0
“@amazingnesspics: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/0ZBJZVZMwm” why is this perfect,0
Amazing…\n\nRT @Fascinatingpics: \nUnbelievable Shot Of The 2012 #Supermoon In #Rio de Janeiro. \n\n. http://t.co/hnzaksxpjE,0
"Woow @Stana_Katic look at this, incredible shot of the supermoon 2012 in Rio de Janeiro! http://t.co/c4yEyAiSH2",0
@TopEarthPix: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/yYWcAsSen6 someone take me here. ❤ ❤,0
Wew gokil RT @FotoBumi: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/dz34eVOR5T,0
@GabrielGaby18 @Don_Dendy @adityayosa Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/G8WT0nrEJW,0
“@TopEarthPix: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/siBKGlqiIm” hahahahahaha,0
Brilliant PIC of supermoon in Rio de Janeiro  http://t.co/FdAOEIpEvp,0
"“Super moon, Rio De Janeiro http://t.co/svKrinHLIA” I've seen a better Supermoon @RyanAWalton @MexicanMiley @Sarah_Witt17 @Tabitha_Swanson",0
"Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. "" http://t.co/7wMsYVqxI4",0
