post_text,label
Little Syrian girl sells chewing gum on the street so she can feed herself... https://t.co/pGhagPBxHb,0
Little Syrian girl sells chewing gum in the street to eat.This example is a strong will in a small heart@tokiohotel http://t.co/q0jKPhOHo2,0
This little girl have to sell chewing gum to feed herself...pray for Syria http://t.co/OvoQOF7O3Q,0
"This beautiful little Syrian girl was selling chewing gum on the streets.\n""Why are you selling chewing gum... http://t.co/3ERcIBZNBn",0
Little Syrian girl sells chewing gum on the street to eat. This example of a strong will in a small heart http://t.co/Zi8mx9WJ9G,0
"RT""@Palestine_Pics: Syrian girl selling chewing gum in the streets of Jordan. | via @Trotsmoslim  #FreeSyria http://t.co/P71r2fWVtH""",0
A #Syrian girl who sells chewing gum in the cold streets of Amman. #Syrian #lost #generation https://t.co/fu4S1gJjsu,0
"Quel regard, quel sourire ! mA ""@Palestine_Pics Syrian girl selling chewing gum in the streets of Jordan  #FreeSyria http://t.co/YCcZQp695N""",0
@Palestine_Pics: Syrian girl selling chewing gum in the streets of Jordan. | via @Trotsmoslim #FreeSyria http://t.co/cmqZxK37Y8,0
Syrian girl selling chewing gum in the streets of Jordan. | via @Trotsmoslim  #FreeSyria http://t.co/XaenTiPtq5,0
A small Syrian girl who is selling chewing gum on the streets so that she can feed herself. This world is fucked http://t.co/qQJk51gqTf,0
"Маленькая сирийская девочка продает жевательные резинки на улице, чтобы прокормиться https://t.co/GvJdi84qtU",0
