post_text,label
Insanely beautiful. Wow. RT @AwkwardGoogle: Underwater bedroom. Who wouldn't like to live in a place like this http://t.co/21QjhyLlCy,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this? http://t.co/CmcWRhtojA,0
Underwater bedroom !\nWho wouldn't like to live in a place like this .. :) http://t.co/ezAvj8F1Ut,0
Underwater bedroom !\nWho wouldn't like to live in a place like this ..  :) http://t.co/ezAvj8F1Ut,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/w9uGmCcffz,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this?(◠‿◠) http://t.co/LEAR2QF3hi,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this? http://t.co/jCd8JJVX2M,0
"\""@AwkwardGoogle: Underwater bedroom at Poseidon Undersea Res. in Fiji. Who wouldn't like to live in a place like this http://t.co/ZWCkULfNBP",0
"Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this? http://t.co/il8WBkjZSL\""...",0
"\""Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/G2MqQrbe1g\""",0
"Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/rQOO6Jh7OC\""",0
"\""Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/YfBbajW1d6\""",0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/pSH8dIAjvr,0
"Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/Bl12zmhP6t\""",0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/FbaN1QFRWi”,0
Underwater bedroom at Poseidon Undersea Resort Fiji. Who wouldn't like to live in a place like this http://t.co/YmHW5uRrSw” dream,0
“Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/4yBO5bWCKN”,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/kFBbGtVveH,0
Underwater bedroom at Poseidon Undersea Resort in Fiji. Who wouldn't like to live in a place like this! http://t.co/3IuvtPhiv2 \n#luxury,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/9Ryt007iZ2”,0
“Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/6ewlkFaXI9”,0
Underwater bedroom at Poseidon Undersea Resort located in Fiji. Who wouldn't like to live in a place like this http://t.co/tkH4wEYz5S,0
