post_text,label
In Michigan: Woman enters Guinness book of record after 14 children from 14 different… https://t.co/cWaIK9baBJ https://t.co/oCu5HBAUQV,0
@ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/ApmOl9ewb7 absolutely not!,0
Has to be some kind of record. RT @ErrBodyLuvsCris 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/EyARVeECtX,0
😭😭😭😭😭😭😭 RT @ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/lvlkBbTR5S,0
I'm not even shocked it “@ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/sES0WFiDU3”,0
RT @ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/Lkyj3PZkfa,0
14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/Lkyj3PZkfa,0
Meet The Woman Who Has Given Birth To 14 Children From 14 Different Fathers! https://t.co/6E6hSuFdQ6 https://t.co/ksbKFOehqK,0
"RT @Viasat1Ghana: Woman, 36, gives birth to 14 children from 14 different fathers\nhttps://t.co/ngThYy1mrx https://t.co/lI1dEfAxkE",0
Woman Breaks World Record With 14 Children from 14 Different Fathers  https://t.co/54qn1zuzmP https://t.co/q4FIXdF8rt,0
RT @Abiola_j360ent: Woman Breaks World Record With 14 Children from 14 Different Fathers  https://t.co/54qn1zuzmP https://t.co/q4FIXdF8rt,0
